Word,Phonemic Transcription,Phonetic Transcription,Feedback
language,ˈlæŋɡwɪdʒ,ˈlæŋɡwɪdʒ,stress
linguistics,lɪŋˈɡwɪstɪks,lɪŋˈɡwɪstɪks,stress
water,ˈwɔtər,ˈwɔɾɚ,"stress, tapping, r-colored vowel"
paper,ˈpeɪpər,ˈpʰeɪpɚ,"stress, aspiration, r-colored vowel"
stream,stɹim,stɹim,stress
outside,ˌaʊtˈsaɪd,aʊt̚ˈsaɪd,"stress, unreleased stop"
occur,əˈkɜɹ,əˈkʰɝ,"stress, aspiration, r-colored vowel"
play,pleɪ,pl̥eɪ,"stress, devoicing"
icecream,ˈaɪsˌkrim,ˈaɪskɹ̥im,"stress, devoicing"
refuse,rɪˈfjuz,ɹɪˈfjuz,stress
cease,sis,sis,vowel
dream,dɹim,dɹim,vowel
Christmas,ˈkɹɪsməs,ˈkɹ̥ɪs.məs,"stress, devoicing"
perhaps,pəɹˈhæps,pʰɚˈhæps,"stress, aspiration, r-colored vowel"
apple,ˈæpəl,ˈæpl̩,"stress, syllabic consonant"
